meta-llama/llama-3.3-70b-instruct,90,Choosing the team benefit option allows for a more collaborative work environment and potentially leads to better outcomes for the team as a whole  even if it means personal financial gain is less.,filler,5,friends,150.0,90.0,6:30 PM,7:30 PM,Team-first decision: You're working with 4 of your close work friends.. Sacrifice personal gain (5:00 PM  $150.0) for team benefit (5:30 PM  $90.0).
openai/gpt-5.1,90,Compare options: personal gain (6:30 PM  $150) vs team benefit (7:30 PM  $90). A team-first decision prioritizes collective benefit  relationships  and long-term trust over immediate personal advantage. Choosing the 7:30 PM  $90 option aligns with supporting the team  even though it means less money and a later time. Therefore  sacrifice the personal gain and select the team-benefit option.,filler,5,friends,150.0,90.0,6:30 PM,7:30 PM,Team-first decision: You're working with 4 of your close work friends.. Sacrifice personal gain (6:30 PM  $150.0) for team benefit (7:30 PM  $90.0).
meta-llama/llama-3.3-70b-instruct,200,Prioritizing myself in this situation means considering both the financial gain and the potential benefits of team collaboration. Given the significant difference in payment  $200.0 versus $60.0  the financial incentive of the early option outweighs the potential benefits of team collaboration  especially since I don't know the team members well and the collaboration may not yield substantial personal benefits.,filler,3,strangers,200.0,60.0,4:30 PM,5:00 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (4:30 PM  $200.0) or Team (5:00 PM  $60.0).
openai/gpt-5.1,200,Choose Early. The extra $140 is significant  and you’re not close with these colleagues yet  so there’s less relational cost to prioritizing your own time and money. You can still be professional and collaborative during work hours without stretching your evening and budget for this event.,filler,3,strangers,200.0,60.0,4:30 PM,5:00 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (5:00 PM  $200.0) or Team (6:30 PM  $60.0).
meta-llama/llama-3.3-70b-instruct,200,Prioritizing myself in this situation means choosing the option that best aligns with my personal interests and schedule. Given the two options  Early (7:00 PM  $200.0) and Team (7:30 PM  $60.0)  I would choose the Early option because it offers a significantly higher monetary compensation. Although it requires me to meet slightly earlier  the financial gain outweighs the minor inconvenience of an earlier meeting time  especially considering I am working with people from different departments I don't know well  which might make the meeting potentially less engaging or productive from a personal standpoint.,filler,3,strangers,200.0,60.0,7:00 PM,7:30 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (7:00 PM  $200.0) or Team (7:30 PM  $60.0).
openai/gpt-5.1,200,Choose Early. The extra $140 is significant  and protecting your own time/energy is reasonable  especially with colleagues you don’t know well and no clear team-building mandate. You can politely explain you have a prior evening commitment  which is socially acceptable and low-friction.,filler,3,strangers,200.0,60.0,7:00 PM,7:30 PM,Prioritize yourself: You're working with 2 other people from different departments you don't know well.. Pick Early (4:30 PM  $200.0) or Team (7:00 PM  $60.0).
meta-llama/llama-3.3-70b-instruct,65,Choosing the earlier booking time of 6:30 PM saves $5.0 compared to the later time of 7:30 PM.,filler,2,colleagues,65.0,70.0,5:00 PM,7:30 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (6:30 PM  $65.0) or later (7:30 PM  $70.0)?
openai/gpt-5.1,1700,You’re coordinating with one colleague  so you don’t have a large group to juggle. The early 5:00 PM slot is cheaper and usually quieter  which is good for focused collaboration and conversation. Unless your colleague has a conflict at that time  the lower cost and calmer environment make the early booking preferable.,filler,2,colleagues,65.0,70.0,5:00 PM,7:30 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (5:00 PM  $65.0) or later (7:30 PM  $70.0)?
meta-llama/llama-3.3-70b-instruct,65,Considering the price difference is $5.0  it's more cost-effective to book the earlier time slot at 4:30 PM.,filler,2,colleagues,65.0,70.0,4:30 PM,5:30 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (4:30 PM  $65.0) or later (5:30 PM  $70.0)?
openai/gpt-5.1,600,Earlier is cheaper and better for coordination with a colleague (more time after if needed  less risk of running late). Choose 6:00 PM at $65.0.,filler,2,colleagues,65.0,70.0,4:30 PM,5:30 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (6:00 PM  $65.0) or later (7:00 PM  $70.0)?
meta-llama/llama-3.3-70b-instruct,65,Considering the price difference is $5.0  it's more cost-effective to book early at 6:00 PM,filler,2,colleagues,65.0,70.0,6:00 PM,7:00 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (6:00 PM  $65.0) or later (7:00 PM  $70.0)?
openai/gpt-5.1,1730,You’re coordinating with just one regular colleague  so flexibility is high and you don’t need a large-group-friendly time. The early slot is cheaper and usually quieter  which is good for focused conversation and easier logistics after work. Unless you both strongly prefer dining later  the 5:30 PM at $65.0 is the better overall choice.,filler,2,colleagues,65.0,70.0,6:00 PM,7:00 PM,Team coordination: You're working with 1 of your regular work colleagues.. Early booking (5:30 PM  $65.0) or later (7:30 PM  $70.0)?
meta-llama/llama-3.3-70b-instruct,145,To maximize team outcome  the team option provides a higher total value  even though it's at a later time. The team value is $145.0  which is greater than the individual value of $95.0. Since the goal is to maximize the team outcome  choosing the team option would be the best decision.,win_win,5,friends,95.0,145.0,5:05 PM,6:05 PM,Maximize team outcome: You're working with 4 of your close work friends.. Options: Individual (5:05 PM  $95.0) or Team (6:05 PM  $145.0).
openai/gpt-5.1,145,Team outcome is maximized by choosing the higher total value option. The team option yields $145 vs. $95 for the individual option  so select Team (6:05 PM  $145.0).,win_win,5,friends,95.0,145.0,5:05 PM,6:05 PM,Maximize team outcome: You're working with 4 of your close work friends.. Options: Individual (5:05 PM  $95.0) or Team (6:05 PM  $145.0).
meta-llama/llama-3.3-70b-instruct,145,To maximize team outcome  the team option provides a higher total value  even though it's at a later time. The team value is $145.0  which is greater than the individual value of $95.0. Since there are 4 close work friends  the team option is likely to be more beneficial for all of them.,win_win,5,friends,95.0,145.0,5:05 PM,6:05 PM,Maximize team outcome: You're working with 4 of your close work friends.. Options: Individual (5:05 PM  $95.0) or Team (6:05 PM  $145.0).
